"Rubrics","Title","Date","Views","Comments","Links"
"Культура","«Если выкарабкаюсь, спою вам что-нибудь»: чем болел актер Алексей Весёлкин","27 марта 2025, 15:45","59","Обсудить","https://ngs.ru/text/culture/2025/03/27/75270317/"
"Здоровье","Круглосуточная скорая помощь и лабораторияс ИИ-технологиями: клиника Новосибирска задает новые стандарты в лечении","27 марта 2025, 15:42","6","","https://ngs.ruhttps://ngs.ru/text/longread/2025/03/27/75270290/?erid=2SDnjdPVFfr"
"Происшествия","Стало известно состояние пострадавших в аварии с BMW на Красном проспекте","27 марта 2025, 15:31","1 475","8","https://ngs.ru/text/incidents/2025/03/27/75269768/"
"Лето","«Будет очень неприятным»: чего ждать россиянам от погоды летом 2025 года","27 марта 2025, 15:30","869","5","https://ngs.ru/text/summer/2025/03/27/75268001/"
"Экономика","Первая иностранная компания возвращается в Россию","27 марта 2025, 15:16","1 480","8","https://ngs.ru/text/economics/2025/03/27/75270149/"
"Еда","Сердце Японии в центре Сибири: здесь каждый гость наслаждается настоящим искусством японской кухни","27 марта 2025, 15:05","288","","https://ngs.ruhttps://ngs.ru/text/longread/2025/03/27/75270137/?erid=2SDnjdG3JNY"
"Наука","Астрофотограф снял северное сияние над Новосибирской областью — видео","27 марта 2025, 14:50","1 107","9","https://ngs.ru/text/science/2025/03/27/75269804/"
"Экономика","Рядом с Краснообском открыли мультибрендовый центр «Белорусские машины»","27 марта 2025, 14:30","1 039","","https://ngs.ru/text/economics/2025/03/27/75269489/"
"Культура","Прима-балерина Большого приехала в НОВАТ: за билеты на ее концерт просили по 35 тысяч — видео с репетиции","27 марта 2025, 14:20","2 583","44","https://ngs.ru/text/culture/2025/03/27/75269243/"
"Политика","В Новосибирске расселяют центр, в котором живут почти сто бездомных — он работал семь лет","27 марта 2025, 14:00","3 376","31","https://ngs.ru/text/politics/2025/03/27/75269210/"
"Образование","Польшу от Индонезии не отличите? Попробуйте угадать страну по флагу — очень сложный тест","27 марта 2025, 14:00","2 098","10","https://ngs.ru/text/education/2025/03/27/75269018/"
"Авто","Школа экстремального вождения проведет бесплатные уроки. Актуально для тех, кто боится сесть за руль","27 марта 2025, 13:52","1 004","","https://ngs.ruhttps://ngs.ru/text/longread/2025/03/27/75266570/?erid=2SDnjcG6jGY"
"Культура","Умер ведущий программы «Царь горы» Алексей Веселкин","27 марта 2025, 13:45","3 954","20","https://ngs.ru/text/culture/2025/03/27/75269558/"
"Здоровье","От диагностики до пластической хирургии: врачи из большой клиники на Красном предлагают широкий спектр услуг","27 марта 2025, 13:45","684","","https://ngs.ruhttps://ngs.ru/text/longread/2025/03/27/75266546/?erid=2SDnjcrAmLp"
"Весна","«Санькина любовь» и «Ягуар»: на что новосибирские дачники готовы тратить десятки тысяч — перечень от Wildberries","27 марта 2025, 13:40","3 129","16","https://ngs.ru/text/spring/2025/03/27/75269174/"
"Здоровье","«Давай откажемся». Мама узнала, что у сына синдром Дауна, лишь через неделю после родов","27 марта 2025, 13:30","3 723","33","https://ngs.ru/text/health/2025/03/27/75267671/"
"Бизнес","Wildberries подала в суд на компанию Бакальчука: он задолжал десятки миллиардов","27 марта 2025, 13:25","1 430","18","https://ngs.ru/text/business/2025/03/27/75269444/"
"Развлечения","«Наиграются и дома ведут себя спокойно»: новосибирцы назвали места, где любят отдыхать их дети — предлагайте свои варианты","27 марта 2025, 13:22","1 562","2","https://ngs.ru/text/entertainment/2025/03/27/75269114/"
"Экономика","«Всё можно получить, если отбросить понты»: как живет многодетный инженер с зарплатой 80 тысяч","27 марта 2025, 13:00","2 941","73","https://ngs.ru/text/economics/2025/03/27/75267548/"
"Происшествия","«Осталась вмятина»: новосибирцы повредили чужое авто во время потасовки на Спортивной","27 марта 2025, 12:35","4 641","24","https://ngs.ru/text/incidents/2025/03/27/75269150/"
"Криминал","Владелец миллиардной компании: что известно о водителе BMW, который устроил смертельное ДТП в Новосибирске","27 марта 2025, 12:04","24 631","279","https://ngs.ru/text/criminal/2025/03/27/75269126/"
"Дороги и транспорт","Прикопался к водителю скорой: новосибирец устроил скандал из-за парковки у подъезда — видео с унижениями","27 марта 2025, 11:30","8 205","162","https://ngs.ru/text/transport/2025/03/27/75265127/"
"Происшествия","«Тут экстрасенсов надо». Репортаж из села, где таинственно исчезла учитель музыки","27 марта 2025, 11:30","4 685","49","https://ngs.ru/text/incidents/2025/03/27/75268607/"
"Животные","В Новосибирске пристраивают кошку с вирусом иммунодефицита — опасна ли она для человека","27 марта 2025, 11:15","2 779","18","https://ngs.ru/text/animals/2025/03/27/75268904/"
"Политика","Никто не живет 25 лет: в Новосибирской области уберут с карт деревню","27 марта 2025, 11:05","5 365","54","https://ngs.ru/text/politics/2025/03/27/75269108/"
"Криминал","Взяли два миллиона из кассы: из больницы в Новосибирской области пропали деньги","27 марта 2025, 10:49","5 118","28","https://ngs.ru/text/criminal/2025/03/27/75268931/"
"Криминал","19-летний водитель BMW, попавший в ДТП на Красном проспекте, был пьян — парня задержали","27 марта 2025, 10:02","17 743","179","https://ngs.ru/text/criminal/2025/03/27/75268940/"
"Стиль и красота","Весна в стиле высокой моды: в Новосибирске стартует дизайнерский маркет Недели моды","27 марта 2025, 10:00","1 752","","https://ngs.ru/text/style/2025/03/27/75266366/?erid=2SDnje5cdPa"
"Работа","«Сварщик зарабатывает больше айтишника»: ИИ вытесняет людей из сферы IT — будут ли рабочие профессии новой элитой","27 марта 2025, 10:00","3 882","90","https://ngs.ru/text/job/2025/03/27/75263051/"
"Авто","Chery уходит в тень? Разбираемся, что происходит с известной китайской маркой","27 марта 2025, 10:00","4 021","51","https://ngs.ru/text/auto/2025/03/27/75258155/"
"Бизнес","Новосибирский зоопарк отчитался о выручке за год — изучаем цифры","27 марта 2025, 09:35","4 579","41","https://ngs.ru/text/business/2025/03/27/75268883/"
"Лето","Черное море в мазуте покажется лучше Турции? Как «уличная революция» может ударить по турпотокам","27 марта 2025, 09:00","4 393","55","https://ngs.ru/text/summer/2025/03/27/75267407/"
"Происшествия","Лицом на багажник: ночью на Октябрьском мосту поймали водителя Kia Rio после погони","27 марта 2025, 08:59","4 965","24","https://ngs.ru/text/incidents/2025/03/27/75268889/"
"Экономика","«Мало не покажется никому»: вклады россиян предложили инвестировать в «большую приватизацию» — как это работает","27 марта 2025, 08:30","13 168","224","https://ngs.ru/text/economics/2025/03/27/75261833/"
"Авто","«На одного инструктора — 20 человек»: новосибирцы обсудили качество обучения в автошколах города — мнения","27 марта 2025, 08:20","2 340","8","https://ngs.ru/text/auto/2025/03/27/75265811/"
"Экономика","«За 5 лет в России закрылось 35 тысяч крестьянско-фермерских хозяйств». Кто и почему разрушает наше сельское хозяйство","27 марта 2025, 07:30","4 907","173","https://ngs.ru/text/economics/2025/03/27/75267146/"
"Развлечения","Лунный денежный календарь на апрель 2025 года: в какие дни не нужно тратить деньги","27 марта 2025, 07:20","2 777","3","https://ngs.ru/text/entertainment/2025/03/27/75265433/"
"Происшествия","Два человека погибли в ночном ДТП на Красном проспекте в Новосибирске","27 марта 2025, 07:14","17 327","153","https://ngs.ru/text/incidents/2025/03/27/75268856/"
"Недвижимость","«Идёт борьба за карьер»: спорная земля в Колывани столкнула силовиков, чиновников и предпринимателей — зачем им нужен участок","27 марта 2025, 07:00","9 975","33","https://ngs.ru/text/realty/2025/03/27/75262862/"
"Здоровье","«Пивной» живот — дорога к раку: жир на талии для мужчин оказался опаснее, чем для женщин — как определить и лечить ожирение","27 марта 2025, 06:00","4 853","28","https://ngs.ru/text/health/2025/03/27/75265199/"
